type	latitude	longitude	altitude (m)	name	desc
T	44.117980000	5.247110000	633.2		
T	44.118040000	5.247150000	633.7		
T	44.118110000	5.247200000	634.5		
T	44.118240000	5.247280000	636.6		
T	44.118310000	5.247320000	637.5		
T	44.118380000	5.247370000	638.6		
T	44.118440000	5.247420000	639.7		
T	44.118500000	5.247480000	640.7		
T	44.118560000	5.247530000	641.7		
T	44.118610000	5.247600000	642.7		
T	44.118670000	5.247670000	643.8		
T	44.118720000	5.247730000	644.6		
T	44.118770000	5.247790000	645.3		
T	44.118820000	5.247840000	646.2		
T	44.118870000	5.247880000	647.0		
T	44.118930000	5.247910000	648.0		
T	44.119000000	5.247940000	649.1		
T	44.119060000	5.247960000	649.8		
T	44.119120000	5.247970000	650.5		
T	44.119240000	5.247990000	652.4		
T	44.119290000	5.248000000	653.3		
T	44.119350000	5.248010000	654.4		
T	44.119400000	5.248030000	655.3		
T	44.119450000	5.248050000	656.1		
T	44.119500000	5.248070000	656.7		
T	44.119550000	5.248100000	657.3		
T	44.119590000	5.248150000	657.9		
T	44.119630000	5.248190000	658.3		
T	44.119680000	5.248230000	658.7		
T	44.119720000	5.248270000	659.0		
T	44.119760000	5.248310000	659.4		
T	44.119810000	5.248360000	660.4		
T	44.119860000	5.248400000	661.5		
T	44.119910000	5.248430000	662.3		
T	44.119980000	5.248460000	663.2		
T	44.120080000	5.248510000	664.8		
T	44.120130000	5.248540000	665.5		
T	44.120180000	5.248560000	666.1		
T	44.120230000	5.248580000	666.6		
T	44.120290000	5.248590000	667.2		
T	44.120340000	5.248590000	668.1		
T	44.120390000	5.248590000	669.1		
T	44.120430000	5.248580000	669.8		
T	44.120490000	5.248560000	671.0		
T	44.120520000	5.248560000	671.5		
T	44.120540000	5.248560000	671.9		
T	44.120570000	5.248560000	672.5		
T	44.120590000	5.248580000	672.8		
T	44.120630000	5.248610000	673.6		
T	44.120670000	5.248640000	674.6		
T	44.120720000	5.248660000	675.7		
T	44.120760000	5.248680000	676.7		
T	44.120810000	5.248690000	677.8		
T	44.120860000	5.248690000	678.6		
T	44.120920000	5.248680000	679.2		
T	44.120970000	5.248680000	679.7		
T	44.121020000	5.248700000	680.3		
T	44.121070000	5.248730000	681.0		
T	44.121120000	5.248770000	681.6		
T	44.121160000	5.248820000	682.1		
T	44.121200000	5.248890000	682.3		
T	44.121230000	5.248950000	682.7		
T	44.121260000	5.249010000	682.9		
T	44.121270000	5.249070000	683.1		
T	44.121290000	5.249140000	683.3		
T	44.121310000	5.249200000	683.8		
