type	latitude	longitude	altitude (m)	name	desc
T	45.694980000	3.165040000	373.2		
T	45.694980000	3.165070000	373.2		
T	45.694980000	3.165100000	373.3		
T	45.694980000	3.165130000	373.4		
T	45.694950000	3.165190000	373.7		
T	45.694910000	3.165260000	374.0		
T	45.694840000	3.165360000	374.7		
T	45.694500000	3.165670000	377.9		
T	45.694120000	3.166060000	382.8		
T	45.694100000	3.166100000	383.2		
T	45.693780000	3.166370000	386.9		
T	45.693740000	3.166410000	387.3		
T	45.693400000	3.166720000	389.6		
T	45.693010000	3.167070000	389.0		
T	45.692820000	3.167240000	388.6		
T	45.692810000	3.167250000	388.6		
T	45.692710000	3.167300000	388.5		
T	45.692510000	3.167480000	388.0		
T	45.692100000	3.167830000	389.2		
T	45.692050000	3.167870000	389.4		
