type	latitude	longitude	altitude (m)	name	desc
T	51.110840000	3.918200000	3.5		
T	51.110860000	3.918540000	3.1		
T	51.110870000	3.918760000	2.7		
T	51.110880000	3.918850000	2.5		
T	51.110910000	3.919330000	3.0		
T	51.110930000	3.919730000	3.4		
T	51.110990000	3.921320000	4.0		
T	51.111060000	3.922860000	5.2		
T	51.111090000	3.923590000	5.0		
T	51.111100000	3.923830000	4.2		
T	51.111130000	3.924330000	5.5		
T	51.111140000	3.924500000	5.9		
T	51.111160000	3.925150000	6.8		
T	51.111170000	3.925360000	6.9		
T	51.111210000	3.926290000	5.6		
T	51.111240000	3.927030000	3.7		
T	51.111270000	3.927560000	2.9		
T	51.111340000	3.928710000	3.7		
T	51.111370000	3.929100000	4.1		
T	51.111380000	3.929330000	3.4		
T	51.111440000	3.930000000	4.0		
T	51.111510000	3.930520000	4.0		
T	51.111610000	3.931140000	4.0		
T	51.111700000	3.931610000	4.0		
T	51.111990000	3.933100000	4.9		
T	51.112170000	3.934020000	5.0		
T	51.112250000	3.934440000	5.0		
T	51.112310000	3.934740000	5.1		
T	51.112330000	3.934840000	5.4		
T	51.112420000	3.935250000	6.0		
T	51.112470000	3.935480000	6.0		
T	51.112490000	3.935580000	5.9		
T	51.112720000	3.936550000	4.1		
T	51.112760000	3.936740000	4.0		
T	51.113240000	3.938730000	6.7		
T	51.113240000	3.938750000	6.7		
T	51.113540000	3.939940000	6.0		
T	51.113820000	3.940980000	3.6		
T	51.113850000	3.941200000	3.7		
T	51.113980000	3.941710000	4.5		
T	51.114030000	3.941900000	4.2		
T	51.114190000	3.942580000	2.9		
T	51.114250000	3.942860000	2.9		
T	51.114290000	3.943080000	3.3		
T	51.114330000	3.943310000	3.2		
T	51.114360000	3.943500000	3.6		
T	51.114400000	3.943850000	4.8		
T	51.114430000	3.944190000	4.9		
T	51.114450000	3.944470000	4.1		
T	51.114460000	3.944710000	4.9		
T	51.114470000	3.944900000	5.5		
T	51.114480000	3.945050000	5.8		
T	51.114510000	3.945290000	5.8		
T	51.114480000	3.945350000	6.2		
T	51.114470000	3.945380000	6.3		
T	51.114460000	3.945430000	6.5		
T	51.114450000	3.945460000	6.6		
T	51.114450000	3.945530000	6.9		
T	51.114460000	3.945600000	6.8		
T	51.114470000	3.945640000	6.7		
T	51.114490000	3.945680000	6.6		
T	51.114500000	3.945710000	6.6		
T	51.114520000	3.945730000	6.5		
T	51.114550000	3.945770000	6.5		
T	51.114490000	3.946160000	5.2		
T	51.114470000	3.946380000	5.1		
T	51.114460000	3.946590000	4.3		
T	51.114470000	3.946950000	4.1		
T	51.114550000	3.948510000	6.0		
T	51.114590000	3.949200000	5.4		
T	51.114610000	3.949470000	4.4		
T	51.114650000	3.949620000	4.3		
T	51.114660000	3.950810000	5.0		
T	51.114650000	3.951700000	4.7		
T	51.114650000	3.951780000	4.7		
T	51.114610000	3.952490000	4.4		
T	51.114600000	3.952680000	5.1		
T	51.114550000	3.953580000	6.7		
T	51.114510000	3.954090000	5.8		
T	51.114480000	3.954350000	5.2		
T	51.114400000	3.955050000	4.0		
T	51.114350000	3.955440000	3.1		
T	51.114320000	3.955660000	2.6		
T	51.114290000	3.955900000	2.2		
T	51.114220000	3.956210000	1.2		
T	51.114180000	3.956380000	1.0		
T	51.114120000	3.956590000	1.6		
T	51.114050000	3.956820000	1.8		
T	51.113960000	3.957080000	2.5		
T	51.113750000	3.957580000	3.3		
T	51.113730000	3.957620000	3.4		
T	51.113540000	3.957980000	3.7		
T	51.113370000	3.958300000	3.0		
T	51.113230000	3.958550000	3.0		
T	51.113060000	3.958860000	3.9		
T	51.112840000	3.959280000	4.8		
T	51.112550000	3.959850000	4.9		
T	51.112540000	3.959850000	4.9		
T	51.112450000	3.960040000	5.0		
T	51.112410000	3.960050000	5.0		
T	51.112390000	3.960060000	5.0		
T	51.112360000	3.960100000	5.0		
T	51.112200000	3.960380000	4.9		
T	51.111860000	3.960950000	4.3		
T	51.111800000	3.961040000	3.7		
T	51.111680000	3.961250000	3.0		
T	51.111570000	3.961430000	3.0		
T	51.111470000	3.961620000	3.0		
T	51.111400000	3.961760000	3.0		
T	51.111310000	3.961950000	3.3		
T	51.111280000	3.962040000	3.0		
T	51.111260000	3.962180000	2.6		
T	51.111110000	3.962650000	3.5		
T	51.111040000	3.962890000	4.0		
T	51.111000000	3.963040000	4.0		
T	51.110960000	3.963240000	4.3		
T	51.110910000	3.963530000	4.3		
T	51.110800000	3.964120000	4.1		
T	51.110760000	3.964280000	4.6		
T	51.110730000	3.964430000	5.0		
T	51.110660000	3.964660000	5.8		
T	51.110640000	3.964750000	6.1		
T	51.110610000	3.964860000	6.5		
T	51.110410000	3.965530000	7.0		
T	51.110240000	3.966100000	6.2		
T	51.110100000	3.966740000	7.1		
T	51.109970000	3.967560000	5.7		
T	51.109910000	3.967960000	4.7		
T	51.109890000	3.968100000	4.5		
T	51.109890000	3.968120000	4.5		
T	51.109830000	3.968630000	3.4		
T	51.109760000	3.969270000	2.7		
T	51.109730000	3.969520000	2.0		
T	51.109720000	3.969810000	2.3		
T	51.109700000	3.970240000	3.9		
T	51.109690000	3.970270000	4.0		
T	51.109690000	3.970820000	5.0		
T	51.109690000	3.971270000	5.0		
T	51.109710000	3.972280000	2.1		
T	51.109710000	3.972540000	2.2		
T	51.109760000	3.974390000	2.5		
T	51.109770000	3.974820000	3.7		
T	51.109800000	3.975980000	5.9		
T	51.109800000	3.976110000	5.7		
