type	latitude	longitude	altitude (m)	name	desc
T	50.988850000	3.524950000	6.0		
T	50.988920000	3.524910000	6.0		
T	50.989000000	3.524830000	6.0		
T	50.989050000	3.524780000	6.0		
T	50.989060000	3.524760000	6.0		
T	50.989100000	3.524710000	6.0		
T	50.989150000	3.524620000	6.0		
T	50.989220000	3.524520000	6.0		
T	50.989270000	3.524410000	6.2		
T	50.989330000	3.524290000	7.1		
T	50.989390000	3.524120000	8.3		
T	50.989420000	3.524020000	9.0		
T	50.989440000	3.523900000	9.9		
T	50.989450000	3.523860000	10.0		
T	50.989470000	3.523700000	9.9		
T	50.989470000	3.523680000	9.9		
T	50.989470000	3.523570000	9.9		
T	50.989450000	3.523420000	10.0		
T	50.989410000	3.523310000	9.7		
T	50.989370000	3.523210000	9.0		
T	50.989330000	3.523120000	8.4		
T	50.989260000	3.523040000	7.7		
T	50.989210000	3.522990000	7.3		
T	50.989140000	3.522950000	6.9		
T	50.989100000	3.522920000	6.8		
T	50.989060000	3.522900000	6.6		
T	50.988950000	3.522850000	6.2		
T	50.988800000	3.522840000	6.6		
T	50.988690000	3.522830000	7.4		
T	50.988630000	3.522840000	7.9		
T	50.988530000	3.522850000	8.6		
T	50.988530000	3.522850000	8.6		
T	50.988200000	3.522480000	9.0		
T	50.987340000	3.521530000	7.2		
T	50.986990000	3.521100000	7.8		
T	50.986920000	3.521010000	7.5		
T	50.986810000	3.520890000	6.7		
T	50.986710000	3.520780000	6.0		
T	50.986560000	3.520610000	5.6		
T	50.985860000	3.519720000	12.0		
T	50.985410000	3.519140000	8.9		
T	50.985180000	3.518850000	7.6		
T	50.983940000	3.517290000	1.8		
T	50.983800000	3.517090000	2.1		
T	50.983690000	3.516920000	3.0		
T	50.983540000	3.516660000	3.7		
T	50.983430000	3.516440000	3.6		
T	50.983280000	3.516110000	2.2		
T	50.983130000	3.515710000	1.7		
T	50.982980000	3.515270000	3.3		
T	50.982850000	3.514780000	3.2		
T	50.982750000	3.514330000	1.5		
T	50.982630000	3.513680000	1.2		
T	50.982420000	3.512930000	4.3		
T	50.982230000	3.512490000	4.0		
T	50.981990000	3.512100000	3.7		
T	50.981620000	3.511580000	2.9		
T	50.981330000	3.511260000	5.2		
T	50.981220000	3.511150000	5.6		
T	50.980860000	3.510880000	6.7		
T	50.980600000	3.510740000	6.8		
T	50.980360000	3.510610000	6.2		
T	50.980200000	3.510500000	5.8		
T	50.979910000	3.510200000	5.5		
T	50.979780000	3.510030000	4.6		
T	50.979570000	3.509670000	6.2		
T	50.979220000	3.508860000	7.7		
T	50.978930000	3.508170000	5.4		
T	50.978590000	3.507290000	5.2		
T	50.976890000	3.503320000	5.3		
T	50.976770000	3.503060000	2.8		
T	50.976630000	3.502770000	2.3		
T	50.976630000	3.502770000	2.3		
T	50.976590000	3.502750000	2.7		
T	50.976570000	3.502740000	2.8		
T	50.976540000	3.502720000	3.1		
T	50.976330000	3.502260000	5.2		
T	50.976230000	3.502020000	6.3		
T	50.976180000	3.501660000	7.0		
T	50.975970000	3.501150000	4.1		
T	50.975700000	3.500530000	5.1		
T	50.975430000	3.499880000	5.8		
T	50.975270000	3.499550000	6.0		
T	50.974970000	3.498820000	7.6		
T	50.974580000	3.497960000	6.2		
T	50.973840000	3.496230000	6.4		
T	50.971190000	3.489990000	7.7		
T	50.970700000	3.488930000	6.0		
T	50.969920000	3.487210000	6.0		
T	50.968910000	3.485200000	6.1		
T	50.968610000	3.484600000	7.0		
T	50.968220000	3.483910000	6.5		
T	50.967940000	3.483400000	6.8		
T	50.967640000	3.482860000	6.1		
T	50.966730000	3.481260000	7.6		
T	50.966240000	3.480370000	8.2		
T	50.965190000	3.478560000	11.2		
T	50.965150000	3.478450000	11.2		
T	50.965150000	3.478430000	11.2		
T	50.965110000	3.478330000	11.4		
T	50.965120000	3.478220000	10.6		
T	50.965130000	3.478100000	9.8		
T	50.965220000	3.477840000	8.2		
T	50.965250000	3.477630000	7.4		
T	50.965250000	3.477400000	6.6		
T	50.965240000	3.477300000	6.2		
T	50.965170000	3.477040000	6.4		
T	50.965150000	3.477000000	6.4		
T	50.965100000	3.476910000	6.4		
T	50.965030000	3.476830000	6.1		
T	50.964940000	3.476730000	6.0		
T	50.964730000	3.476640000	5.9		
T	50.964260000	3.476550000	5.4		
T	50.964080000	3.476440000	4.8		
T	50.963910000	3.476290000	4.0		
T	50.963710000	3.475970000	4.2		
T	50.961780000	3.472540000	6.0		
T	50.960860000	3.470910000	7.8		
T	50.960860000	3.470910000	7.8		
T	50.959350000	3.468240000	3.6		
T	50.959100000	3.467800000	4.2		
T	50.958380000	3.466530000	4.4		
